OBJECTID,neighborhood,ucrDescription,number,reportMonth,reportYear
1,** NOT ASSIGNED **,Aggravated Assault,2,8,2017
2,** NOT ASSIGNED **,Arson,0,8,2017
3,** NOT ASSIGNED **,Auto Theft,3,8,2017
4,** NOT ASSIGNED **,Burglary,1,8,2017
5,** NOT ASSIGNED **,Homicide,0,8,2017
6,** NOT ASSIGNED **,Larceny,8,8,2017
7,** NOT ASSIGNED **,Rape,2,8,2017
8,** NOT ASSIGNED **,Robbery,1,8,2017
705,** NOT ASSIGNED **,Aggravated Assault,6,9,2017
706,** NOT ASSIGNED **,Arson,,9,2017
707,** NOT ASSIGNED **,Auto Theft,3,9,2017
708,** NOT ASSIGNED **,Burglary,3,9,2017
709,** NOT ASSIGNED **,Homicide,,9,2017
710,** NOT ASSIGNED **,Larceny,9,9,2017
711,** NOT ASSIGNED **,Rape,2,9,2017
712,** NOT ASSIGNED **,Robbery,1,9,2017
5633,** NOT ASSIGNED **,Aggravated Assault,,4,2018
5634,** NOT ASSIGNED **,Arson,,4,2018
5635,** NOT ASSIGNED **,Auto Theft,3,4,2018
5636,** NOT ASSIGNED **,Burglary,2,4,2018
5637,** NOT ASSIGNED **,Homicide,,4,2018
5638,** NOT ASSIGNED **,Larceny,4,4,2018
5639,** NOT ASSIGNED **,Rape,2,4,2018
5640,** NOT ASSIGNED **,Robbery,2,4,2018
2113,** NOT ASSIGNED **,Aggravated Assault,1,11,2017
2114,** NOT ASSIGNED **,Arson,,11,2017
2115,** NOT ASSIGNED **,Auto Theft,2,11,2017
2116,** NOT ASSIGNED **,Burglary,,11,2017
2117,** NOT ASSIGNED **,Homicide,,11,2017
2118,** NOT ASSIGNED **,Larceny,3,11,2017
2119,** NOT ASSIGNED **,Rape,1,11,2017
2120,** NOT ASSIGNED **,Robbery,1,11,2017
2817,** NOT ASSIGNED **,Aggravated Assault,1,12,2017
2818,** NOT ASSIGNED **,Arson,,12,2017
2819,** NOT ASSIGNED **,Auto Theft,1,12,2017
2820,** NOT ASSIGNED **,Burglary,,12,2017
2821,** NOT ASSIGNED **,Homicide,,12,2017
2822,** NOT ASSIGNED **,Larceny,7,12,2017
2823,** NOT ASSIGNED **,Rape,,12,2017
2824,** NOT ASSIGNED **,Robbery,,12,2017
1409,** NOT ASSIGNED **,Aggravated Assault,2,10,2017
1410,** NOT ASSIGNED **,Arson,,10,2017
1411,** NOT ASSIGNED **,Auto Theft,,10,2017
1412,** NOT ASSIGNED **,Burglary,,10,2017
1413,** NOT ASSIGNED **,Homicide,,10,2017
1414,** NOT ASSIGNED **,Larceny,14,10,2017
1415,** NOT ASSIGNED **,Rape,1,10,2017
1416,** NOT ASSIGNED **,Robbery,,10,2017
6337,** NOT ASSIGNED **,Aggravated Assault,2,5,2018
6338,** NOT ASSIGNED **,Arson,,5,2018
6339,** NOT ASSIGNED **,Auto Theft,2,5,2018
6340,** NOT ASSIGNED **,Burglary,,5,2018
6341,** NOT ASSIGNED **,Homicide,,5,2018
6342,** NOT ASSIGNED **,Larceny,7,5,2018
6343,** NOT ASSIGNED **,Rape,,5,2018
6344,** NOT ASSIGNED **,Robbery,1,5,2018
3521,** NOT ASSIGNED **,Aggravated Assault,,1,2018
3522,** NOT ASSIGNED **,Arson,,1,2018
3523,** NOT ASSIGNED **,Auto Theft,2,1,2018
3524,** NOT ASSIGNED **,Burglary,,1,2018
3525,** NOT ASSIGNED **,Homicide,,1,2018
3526,** NOT ASSIGNED **,Larceny,7,1,2018
3527,** NOT ASSIGNED **,Rape,1,1,2018
3528,** NOT ASSIGNED **,Robbery,3,1,2018
4225,** NOT ASSIGNED **,Aggravated Assault,3,2,2018
4226,** NOT ASSIGNED **,Arson,,2,2018
4227,** NOT ASSIGNED **,Auto Theft,3,2,2018
4228,** NOT ASSIGNED **,Burglary,,2,2018
4229,** NOT ASSIGNED **,Homicide,,2,2018
4230,** NOT ASSIGNED **,Larceny,4,2,2018
4231,** NOT ASSIGNED **,Rape,2,2,2018
4232,** NOT ASSIGNED **,Robbery,3,2,2018
4929,** NOT ASSIGNED **,Aggravated Assault,1,3,2018
4930,** NOT ASSIGNED **,Arson,,3,2018
4931,** NOT ASSIGNED **,Auto Theft,2,3,2018
4932,** NOT ASSIGNED **,Burglary,,3,2018
4933,** NOT ASSIGNED **,Homicide,,3,2018
4934,** NOT ASSIGNED **,Larceny,5,3,2018
4935,** NOT ASSIGNED **,Rape,,3,2018
4936,** NOT ASSIGNED **,Robbery,1,3,2018
9,ARMATAGE,Aggravated Assault,0,8,2017
10,ARMATAGE,Arson,0,8,2017
11,ARMATAGE,Auto Theft,1,8,2017
12,ARMATAGE,Burglary,3,8,2017
13,ARMATAGE,Homicide,0,8,2017
14,ARMATAGE,Larceny,7,8,2017
15,ARMATAGE,Rape,0,8,2017
16,ARMATAGE,Robbery,0,8,2017
713,ARMATAGE,Aggravated Assault,1,9,2017
714,ARMATAGE,Arson,,9,2017
715,ARMATAGE,Auto Theft,1,9,2017
716,ARMATAGE,Burglary,2,9,2017
717,ARMATAGE,Homicide,,9,2017
718,ARMATAGE,Larceny,9,9,2017
719,ARMATAGE,Rape,,9,2017
720,ARMATAGE,Robbery,,9,2017
5641,ARMATAGE,Aggravated Assault,1,4,2018
5642,ARMATAGE,Arson,,4,2018
5643,ARMATAGE,Auto Theft,,4,2018
5644,ARMATAGE,Burglary,1,4,2018
5645,ARMATAGE,Homicide,,4,2018
5646,ARMATAGE,Larceny,3,4,2018
5647,ARMATAGE,Rape,,4,2018
5648,ARMATAGE,Robbery,,4,2018
2121,ARMATAGE,Aggravated Assault,,11,2017
2122,ARMATAGE,Arson,,11,2017
2123,ARMATAGE,Auto Theft,,11,2017
2124,ARMATAGE,Burglary,3,11,2017
2125,ARMATAGE,Homicide,,11,2017
2126,ARMATAGE,Larceny,6,11,2017
2127,ARMATAGE,Rape,,11,2017
2128,ARMATAGE,Robbery,,11,2017
2825,ARMATAGE,Aggravated Assault,2,12,2017
2826,ARMATAGE,Arson,,12,2017
2827,ARMATAGE,Auto Theft,,12,2017
2828,ARMATAGE,Burglary,1,12,2017
2829,ARMATAGE,Homicide,,12,2017
2830,ARMATAGE,Larceny,13,12,2017
2831,ARMATAGE,Rape,,12,2017
2832,ARMATAGE,Robbery,,12,2017
8449,Armatage,Aggravated Assault,1,8,2018
8450,Armatage,Arson,0,8,2018
8451,Armatage,Auto Theft,1,8,2018
8452,Armatage,Burglary,2,8,2018
8453,Armatage,Homicide,0,8,2018
8454,Armatage,Larceny,5,8,2018
8455,Armatage,Rape,0,8,2018
8456,Armatage,Robbery,0,8,2018
1417,ARMATAGE,Aggravated Assault,,10,2017
1418,ARMATAGE,Arson,,10,2017
1419,ARMATAGE,Auto Theft,1,10,2017
1420,ARMATAGE,Burglary,1,10,2017
1421,ARMATAGE,Homicide,,10,2017
1422,ARMATAGE,Larceny,5,10,2017
1423,ARMATAGE,Rape,,10,2017
1424,ARMATAGE,Robbery,,10,2017
